id,make,model,year
901-mm-29,Mercury,Grand Marquis,1991
998-wb-31,Mitsubishi,Chariot,1996
036-bj-19,Mitsubishi,Excel,1987
965-to-18,Hyundai,Tiburon,1997
397-wa-89,Volkswagen,Cabriolet,1987
567-du-93,Daewoo,Lanos,2002
906-ck-23,Oldsmobile,88,1996
090-nw-76,Toyota,FJ Cruiser,2009
525-jl-03,Geo,Metro,1997
629-qp-07,Plymouth,Fury,1964
363-qb-15,Honda,Element,2008
133-uu-88,Acura,Integra,1992
944-er-52,GMC,Sierra 2500,2004
765-ut-36,Ford,Contour,1998
099-fq-73,BMW,6 Series,2005
824-ps-33,Nissan,Xterra,2005
926-hr-35,GMC,1500,1992
855-bd-51,Honda,Accord,2007
045-ph-09,GMC,Sierra,2008
511-ex-46,Lincoln,Navigator L,2008
777-lf-61,Chevrolet,Caprice,1983
222-hc-25,Mitsubishi,Expo,1994
810-mn-42,Chevrolet,TrailBlazer,2003
781-kt-18,GMC,Yukon XL 1500,2013
101-ej-04,Volvo,S70,2000
622-er-98,Bentley,Azure,2007
454-lt-36,Ford,Crown Victoria,1997
945-um-59,Hyundai,Scoupe,1993
836-hn-74,Mitsubishi,Eclipse,2005
889-gt-16,Dodge,Caravan,1998
853-mb-23,GMC,Envoy,2006
118-ze-46,Lincoln,MKS,2009
123-hg-47,Pontiac,Grand Prix,1974
062-rg-14,Honda,CR-V,2006
358-xy-38,Toyota,Land Cruiser,2005
128-wq-95,GMC,Savana 1500,2003
578-hu-83,Jeep,Cherokee,1994
247-ol-50,GMC,Savana 3500,1996
687-yv-37,Isuzu,Trooper,1993
817-da-72,GMC,Yukon Denali,2006
894-yt-85,Infiniti,G,2005
813-zj-22,Nissan,Quest,2004
158-mo-45,GMC,Vandura 1500,1992
897-xm-80,Ford,Club Wagon,1998
503-jx-09,Lotus,Esprit,1995
308-zj-02,Lincoln,Navigator,2001
181-cz-60,Jeep,Wrangler,1997
494-ou-21,Maybach,62,2007
256-ot-56,Volkswagen,CC,2010
455-lm-00,Pontiac,LeMans,1991
983-ti-53,Renault,Alliance,1983
401-xi-19,Ford,Mustang,1987
984-kp-26,Lexus,IS F,2009
950-fu-69,Ford,Ranger,2008
083-ew-66,Toyota,T100,1997
265-dm-98,Chevrolet,S10 Blazer,1992
273-nn-05,Toyota,Matrix,2007
972-pv-22,Mercedes-Benz,SL-Class,1994
735-zj-44,BMW,745,2004
016-qs-39,Ford,Bronco,1986
866-yi-23,Lincoln,Navigator,2002
140-pp-25,GMC,1500,1996
978-oe-04,Chevrolet,SSR,2004
598-of-73,Pontiac,Sunfire,2004
923-ve-34,Saab,900,1987
233-yd-98,Lotus,Esprit,2001
894-yk-07,Volkswagen,Passat,1999
277-cg-82,Ford,F-Series,2004
111-gy-51,Mazda,MX-5,1996
631-oc-14,Ford,Thunderbird,2006
278-vi-52,Ford,F250,1993
384-qs-23,Chevrolet,Impala SS,1995
845-wh-50,Honda,Fit,2009
991-cz-26,Mitsubishi,Diamante,2004
523-ne-81,Nissan,Pathfinder,2006
910-sq-26,Volkswagen,Jetta III,1993
697-tc-37,Plymouth,Laser,1994
328-tg-34,Saab,9-7X,2009
740-hk-58,Lamborghini,Murciélago,2003
169-hu-42,Subaru,Tribeca,2007
698-wl-51,Jeep,Wrangler,1992
511-gw-39,Acura,TL,1996
633-xo-93,Buick,Century,2002
410-oz-10,BMW,Z3,1999
277-gn-12,Lexus,IS-F,2009
836-wp-64,BMW,5 Series,2009
528-ql-33,Nissan,Pathfinder,1996
795-db-44,Isuzu,Hombre,1997
234-xh-86,Dodge,Sprinter,2006
256-el-49,GMC,Vandura 1500,1994
988-vf-32,Hyundai,XG350,2004
798-lw-53,Mercedes-Benz,SLS AMG,2012
756-bz-34,Chrysler,Crossfire Roadster,2006
929-ie-55,Audi,Q7,2011
887-dl-15,Nissan,Sentra,2006
637-dv-64,Pontiac,Grand Prix,1970
755-eg-83,Audi,200,1990
548-ui-94,Porsche,968,1994
535-uy-85,Isuzu,Hombre,1999
366-zp-03,Honda,Ridgeline,2012